Définition d'une proposition logique :;Une phrase qui est soit vraie, soit fausse (et pas les deux);Une formule mathématique contenant une variable libre;Une assertion toujours vraie quel que soit le contexte;Une égalité entre deux expressions algébriques;
Définition d'un axiome :;Une proposition qu'une théorie tient pour vraie sans justification comme point de départ;Un résultat majeur démontré à partir de lemmes;Une propriété déduite par un calcul;Une conjecture admise temporairement;
Définition d'un théorème :;Toute proposition d'une théorie que l'on a pu démontrer à partir de ses axiomes;Une hypothèse indémontrable mais intuitive;Une définition formelle d'un ensemble de nombres;La réciproque d'une règle de calcul;
Définition d'un lemme :;Un théorème préparatoire à la démonstration d'un plus gros théorème;Une conséquence directe et immédiate d'un théorème;Un théorème équivalent à sa propre négation;Une proposition fausse servant de contre-exemple;
Définition d'un corollaire :;Un théorème qui est une conséquence presque immédiate d'un plus gros théorème;Une hypothèse préliminaire avant récurrence;Un résultat intermédiaire sans importance;La contraposée d'une définition;
Définition d'une caractérisation :;Un théorème donnant une condition équivalente à la définition d'une notion;Une condition suffisante mais non nécessaire;Une généralisation d'un résultat particulier;La forme développée d'une formule;
Table de vérité du connecteur logique 'Non p' (noté \(\neg p\)) :;\(\neg p\) est vraie si \(p\) est fausse, et fausse si \(p\) est vraie;\(\neg p\) est toujours fausse;\(\neg p\) est vraie si et seulement si \(p\) est indécidable;\(\neg p\) a la même valeur de vérité que \(p\);
Table de vérité du connecteur logique 'p et q' :;Vraie si \(p\) et \(q\) sont toutes les deux vraies, et fausse sinon;Vraie si au moins l'une des deux propositions est vraie;Fausse uniquement lorsque \(p\) et \(q\) sont fausses;Vraie uniquement si \(p\) implique \(q\);
Table de vérité du connecteur logique 'p ou q' :;Vraie si l'une AU MOINS des propositions est vraie (éventuellement les deux), fausse si les deux sont fausses;Vraie si exactement l'une des deux est vraie (ou exclusif);Vraie uniquement si \(p\) et \(q\) sont vraies;Fausse dès que l'une des propositions est fausse;
Valeur logique de la contradiction \(p \text{ et } \neg p\) :;Toujours fausse;Toujours vraie;Dépend de la valeur de vérité de \(p\);Vraie si \(p\) est indécidable;
Valeur logique du tiers exclu \(p \text{ ou } \neg p\) :;Toujours vraie;Toujours fausse;Vraie uniquement si \(p\) est démontrable;Fausse dans une logique non constructive;
Règle de négation : \(\neg (\neg p) \iff \dots\);\(p\);\(\neg p\);Vrai;Faux;
Lois de Morgan pour les propositions : \(\neg (p \text{ et } q) \iff \dots\);\((\neg p) \text{ ou } (\neg q)\);\((\neg p) \text{ et } (\neg q)\);\(p \text{ ou } q\);\(\neg p \implies \neg q\);
Lois de Morgan pour les propositions : \(\neg (p \text{ ou } q) \iff \dots\);\((\neg p) \text{ et } (\neg q)\);\((\neg p) \text{ ou } (\neg q)\);\(p \text{ et } q\);\(\neg p \implies q\);
Définition de l'implication \(p \implies q\) :;Fausse dans le seul cas où \(p\) est vraie et \(q\) est fausse (vraie sinon);Vraie uniquement si \(p\) et \(q\) sont vraies;Fausse dès que \(p\) est fausse;Équivalente à \(p \text{ et } q\);
Définition de l'équivalence \(p \iff q\) :;Vraie si \(p\) et \(q\) ont la même valeur de vérité, fausse sinon;Vraie uniquement si \(p\) et \(q\) sont vraies simultanément;Fausse si \(p\) et \(q\) sont toutes les deux fausses;Équivalente à \(p \implies q\);
Condition nécessaire vs condition suffisante dans \(p \implies q\) :;\(p\) est condition suffisante pour \(q\), et \(q\) est condition nécessaire pour \(p\);\(p\) est condition nécessaire pour \(q\), et \(q\) est condition suffisante pour \(p\);\(p\) et \(q\) sont toutes deux nécessaires et suffisantes;\(p\) est nécessaire mais jamais suffisante;
Définition de la réciproque de \(p \implies q\) :;\(q \implies p\);\(\neg p \implies \neg q\);\(\neg q \implies \neg p\);\(p \iff q\);
Définition de la contraposée de \(p \implies q\) :;\(\neg q \implies \neg p\);\(q \implies p\);\(\neg p \implies \neg q\);\(p \text{ et } \neg q\);
Théorème d'équivalence de la contraposée :;\((p \implies q) \iff (\neg q \implies \neg p)\);\((p \implies q) \iff (q \implies p)\);\((p \implies q) \iff (\neg p \implies \neg q)\);\((p \implies q) \implies (q \implies p)\);
Théorème de négation de l'implication : \(\neg (p \implies q) \iff \dots\);\(p \text{ et } (\neg q)\);\(\neg p \implies \neg q\);\(\neg p \text{ ou } q\);\(p \implies \neg q\);
Négation du quantificateur universel : \(\neg (\forall x \in E, p(x)) \iff \dots\);\(\exists x \in E, \neg p(x)\);\(\forall x \in E, \neg p(x)\);\(\exists x \notin E, p(x)\);\(\forall x \notin E, \neg p(x)\);
Négation du quantificateur existentiel : \(\neg (\exists x \in E, p(x)) \iff \dots\);\(\forall x \in E, \neg p(x)\);\(\exists x \in E, \neg p(x)\);\(\forall x \notin E, p(x)\);\(\exists! x \in E, \neg p(x)\);
Définition du quantificateur d'unicité \(\exists! x \in E, p(x)\) :;Il existe un unique élément \(x \in E\) pour lequel \(p(x)\) est vraie;Pour tout \(x \in E\), \(p(x)\) est vraie;Il existe au moins un \(x \in E\) vérifiant \(p(x)\);L'ensemble des \(x\) vérifiant \(p(x)\) est infini;
Permutation de quantificateurs de natures différentes :;\(\forall x, \exists y, p(x,y)\) et \(\exists y, \forall x, p(x,y)\) ne sont pas équivalents (dans le 1er cas \(y\) dépend de \(x\));On peut toujours permuter \(\forall\) et \(\exists\) sans changer le sens;\(\forall x, \exists y, p(x,y)\) implique toujours que \(y\) est constant;La permutation n'est autorisée que sur des ensembles finis;
Définition de l'ensemble des parties d'un ensemble \(E\), noté \(\mathcal{P}(E)\) :;\(\mathcal{P}(E) = \{A \mid A \subset E\}\);\(\mathcal{P}(E) = \{x \mid x \in E\}\);\(\mathcal{P}(E) = \{A \subset E \mid A \neq \emptyset\}\);\(\mathcal{P}(E) = E^n\);
Cardinal de l'ensemble des parties \(|\mathcal{P}(E)|\) d'un ensemble fini de cardinal \(n\) :;\(2^n\);\(n^2\);\(n!\);\(2n\);
Définition de l'inclusion \(E \subset F\) :;\(\forall x, x \in E \implies x \in F\);\(\forall x, x \in F \implies x \in E\);\(\exists x \in E, x \in F\);\(E = F\);
Caractérisation de l'égalité de deux ensembles par double inclusion :;\(E = F \iff (E \subset F \text{ et } F \subset E)\);\(E = F \iff (E \cup F = E)\);\(E = F \iff |E| = |F|\);\(E = F \iff E \cap F \neq \emptyset\);
Définition de la réunion \(A \cup B\) :;\(A \cup B = \{x \mid x \in A \text{ ou } x \in B\}\);\(A \cup B = \{x \mid x \in A \text{ et } x \in B\}\);\(A \cup B = \{x \in A \mid x \notin B\}\);\(A \cup B = \{(x,y) \mid x \in A, y \in B\}\);
Définition de l'intersection \(A \cap B\) :;\(A \cap B = \{x \mid x \in A \text{ et } x \in B\}\);\(A \cap B = \{x \mid x \in A \text{ ou } x \in B\}\);\(A \cap B = A \setminus B\);\(A \cap B = \mathcal{P}(A \cup B)\);
Définition de la différence \(A \setminus B\) (ou \(A \setminus B\)) :;\(A \setminus B = \{x \mid x \in A \text{ et } x \notin B\}\);\(A \setminus B = \{x \mid x \in B \text{ et } x \notin A\}\);\(A \setminus B = A \cap B\);\(A \setminus B = (A \cup B)^c\);
Définition du complémentaire \(A^c\) de \(A\) dans \(E\) (avec \(A \subset E\)) :;\(A^c = E \setminus A = \{x \in E \mid x \notin A\}\);\(A^c = \{x \in A \mid x \notin E\}\);\(A^c = E \cup A\);\(A^c = \mathcal{P}(E) \setminus A\);
Définition de deux ensembles disjoints :;\(A \cap B = \emptyset\);\(A \cup B = \emptyset\);\(A \subset B^c\) et \(A = B\);\(|A| + |B| = 0\);
Définition d'une partition d'un ensemble \(E\) :;Une famille \(\{A_i\}_{i \in I}\) de parties non vides de \(E\), 2 à 2 disjointes, t.q. \(\bigcup_{i \in I} A_i = E\);Une famille de sous-ensembles dont l'intersection globale est \(E\);Une décomposition de \(E\) en deux singletons;L'ensemble de tous les sous-ensembles de \(E\);
Lois de De Morgan pour les ensembles : \((A \cup B)^c = \dots\) et \((A \cap B)^c = \dots\);\((A \cup B)^c = A^c \cap B^c\) et \((A \cap B)^c = A^c \cup B^c\);\((A \cup B)^c = A^c \cup B^c\) et \((A \cap B)^c = A^c \cap B^c\);\((A \cup B)^c = A \cap B\);\((A \cap B)^c = A \setminus B\);
Distributivité de l'intersection sur la réunion : \((A \cup B) \cap C = \dots\);\((A \cap C) \cup (B \cap C)\);\((A \cup C) \cap (B \cup C)\);\((A \cap B) \cup C\);\(A \cap B \cap C\);
Distributivité de la réunion sur l'intersection : \((A \cap B) \cup C = \dots\);\((A \cup C) \cap (B \cup C)\);\((A \cap C) \cup (B \cap C)\);\((A \cup B) \cap C\);\(A \cup B \cup C\);
Définition du produit cartésien \(E_1 \times E_2 \times \dots \times E_n\) :;\(\{(x_1, \dots, x_n) \mid \forall i \in \{1..n\}, x_i \in E_i\}\);\(\{x_1 + \dots + x_n \mid x_i \in E_i\}\);\(\{x \mid x \in E_1 \text{ ou } \dots \text{ ou } x \in E_n\}\);\(\mathcal{P}(E_1 \cup \dots \cup E_n)\);
Principe du raisonnement par déduction pour montrer \(p \implies q\) :;On suppose que \(p\) est vraie et on montre qu'alors \(q\) est vraie;On montre que \(q\) est vraie pour en déduire \(p\);On suppose \(q\) fausse et on montre que \(p\) est vraie;On suppose que \(p\) et \(q\) sont fausses;
Principe du raisonnement par disjonction de cas pour une variable \(x \in E \cup F\) :;On montre séparément que \(p(x)\) est vraie pour \(x \in E\), puis que \(p(x)\) est vraie pour \(x \in F\);On montre que \(E \cap F = \emptyset\);On suppose que \(x \in E\) implique \(x \notin F\);On choisit un seul cas particulier représentatif;
Principe du raisonnement par contraposition pour montrer \(p \implies q\) :;On suppose que \(q\) est fausse et on démontre que \(p\) est fausse (\(\neg q \implies \neg p\));On suppose que \(p\) est fausse et on montre que \(q\) est fausse;On suppose que \(p\) est vraie et \(q\) est vraie;On démontre que \(q \implies p\);
Principe du raisonnement par l'absurde pour montrer \(p\) vraie :;On suppose que \(p\) est fausse et on cherche à aboutir à une contradiction;On suppose que \(p\) est vraie et on calcule sa dérivée;On montre que \(\neg p \implies p\) pour une valeur isolée;On vérifie que \(p\) est vraie par récurrence;
Principe du raisonnement par analyse-synthèse :;"1. Analyse : établir les conditions nécessaires que vérifie une solution ; 2. Synthèse : tester ces candidates";"1. Poser \(p(0)\) ; 2. Prouver \(p(n+1)\)";"1. Nier la conclusion ; 2. Déduire une contradiction";"1. Décomposer en somme directe ; 2. Calculer la dimension";
Principe de la récurrence simple :;"1. Initialisation : \(p(n_0)\) vraie ; 2. Hérédité : \(\forall n \ge n_0, p(n) \implies p(n+1)\)";"1. \(p(n_0)\) vraie ; 2. \(\forall n, p(n+1) \implies p(n)\)";Vérifier \(p(n)\) pour les 10 premières valeurs de \(n\);Montrer que \(\lim_{n \to \infty} p(n) = 1\);
Principe de la récurrence forte :;Initialiser en \(n_0\), puis supposer \(p(n_0), p(n_0+1), \dots, p(n)\) vraies pour prouver \(p(n+1)\);Prouver \(p(n) \implies p(n+2)\) pour tout \(n\);Supposer la propriété vraie pour tout \(n \in \mathbb{N}\) dès l'initialisation;Montrer que la propriété est invariante par passage à la limite;
Translation d'indice dans une somme : \(\sum_{k=p+1}^{p+n} a_k = \dots\);\(\sum_{k=1}^n a_{k+p}\);\(\sum_{k=1}^n a_{k-p}\);\(\sum_{k=p}^n a_k\);\(\sum_{k=0}^{n-1} a_{k+p}\);
Symétrie d'indice dans une somme : \(\sum_{k=0}^n a_{n-k} = \dots\);\(\sum_{k=0}^n a_k\);\(\sum_{k=0}^n a_{k-n}\);\(-\sum_{k=0}^n a_k\);\(\sum_{k=1}^{n+1} a_k\);
Formule de la somme télescopique : \(\sum_{k=0}^n (a_{k+1} - a_k) = \dots\);\(a_{n+1} - a_0\);\(a_n - a_0\);\(a_{n+1} - a_1\);\(a_n - a_1\);
Interversion de sommes finies indépendantes : \(\sum_{i=1}^n \sum_{j=1}^p a_{i,j} = \dots\);\(\sum_{j=1}^p \sum_{i=1}^n a_{i,j}\);\(\left(\sum_{i=1}^n a_{i,j}\right) + \left(\sum_{j=1}^p a_{i,j}\right)\);\(\sum_{k=1}^{n+p} a_{k,k}\);\(\sum_{i=1}^n a_{i,i} \times \sum_{j=1}^p a_{j,j}\);
Interversion dans une somme triangulaire : \(\sum_{k=1}^n \sum_{i=1}^k a_{i,k} = \dots\);\(\sum_{i=1}^n \sum_{k=i}^n a_{i,k}\);\(\sum_{i=1}^n \sum_{k=1}^n a_{i,k}\);\(\sum_{k=1}^n \sum_{i=k}^n a_{i,k}\);\(\sum_{i=1}^k \sum_{k=1}^n a_{i,k}\);
Produit de deux sommes finies : \(\left(\sum_{i=1}^n a_i\right) \times \left(\sum_{j=1}^p b_j\right) = \dots\);\(\sum_{1 \le i \le n, 1 \le j \le p} a_i b_j\);\(\sum_{i=1}^{\min(n,p)} a_i b_i\);\(\sum_{i=1}^n a_i b_i\);\(\sum_{i=1}^n a_i + \sum_{j=1}^p b_j\);
Définition de la valeur absolue d'un réel \(x\) :;Le plus grand des réels \(x\) et \(-x\) (noté \(|x|\));Le réel \(x\) si \(x \le 0\), et \(-x\) si \(x > 0\);L'entier le plus proche de \(x\);Le carré \(x^2\);
Propriété d'homogénéité (facteur d'échelle) de la valeur absolue :;\(\forall x, y \in \mathbb{R}, |xy| = |x||y|\);\(\forall x, y \in \mathbb{R}, |xy| = |x| + |y|\);\(\forall x, y \in \mathbb{R}, |xy| \le |x||y|\);\(\forall x, y \in \mathbb{R}, |xy| = x^2 y^2\);
Propriété de l'inégalité triangulaire pour les réels :;\(\forall x, y \in \mathbb{R}, |x + y| \le |x| + |y|\);\(\forall x, y \in \mathbb{R}, |x + y| \ge |x| + |y|\);\(\forall x, y \in \mathbb{R}, |x + y| = |x| + |y|\);\(\forall x, y \in \mathbb{R}, |x + y| \le |x - y|\);
Inégalité triangulaire inversée dans \(\mathbb{R}\) :;\(\forall x, y \in \mathbb{R}, \big||x| - |y|\big| \le |x - y|\);\(\forall x, y \in \mathbb{R}, |x - y| \le |x| - |y|\);\(\forall x, y \in \mathbb{R}, ||x| - |y|| \ge |x - y|\);\(\forall x, y \in \mathbb{R}, |x - y| = |x| + |y|\);
Majoration par valeur absolue : \(|x| \le M \iff \dots\) (avec \(M \ge 0\));\(-M \le x \le M\);\(x \le M\);\(x \ge -M\);\(x \le -M \text{ ou } x \ge M\);
Minoration par valeur absolue : \(|x| \ge M \iff \dots\) (avec \(M \ge 0\));\(x \ge M \text{ ou } x \le -M\);\(-M \le x \le M\);\(x \ge M \text{ et } x \le -M\);\(x = M\);
