Question;Réponse correcte;Fausse réponse 1;Fausse réponse 2;Fausse réponse 3;Explication
Qu'est-ce qu'un espace vectoriel euclidien ?;Un espace vectoriel muni d'un produit scalaire \(P(x,y) = \langle x,y \rangle = x \cdot y\);Un espace vectoriel muni d'une forme hermitienne complexe;Un espace vectoriel de dimension infinie sans produit scalaire;Un espace affine muni d'une distance euclidienne non linéaire;Un espace vectoriel euclidien est un espace vectoriel réel de dimension finie muni d'un produit scalaire.
Comment se calcule la norme usuelle d'un vecteur \(x\) ?;\(||x|| = \sqrt{x \cdot x} = \sqrt{\sum_{i=1}^{n} x_i^2}\);\(||x|| = \sum_{i=1}^{n} |x_i|\);\(||x|| = \max_{1 \le i \le n} |x_i|\);\(||x|| = x \cdot x = \sum_{i=1}^{n} x_i^2\);La norme usuelle (euclidienne) dérive du produit scalaire canonique : \(||x|| = \sqrt{\langle x, x \rangle} = \sqrt{\sum x_i^2}\).
Quelle est la condition d'orthogonalité entre deux vecteurs \(x\) et \(y\) ?;\(x \cdot y = 0 \Leftrightarrow ||x+y||^2 = ||x||^2 + ||y||^2\);\(x \cdot y = 1 \Leftrightarrow ||x+y|| = ||x|| + ||y||\);\(x \cdot y = 0 \Leftrightarrow ||x+y|| = ||x|| - ||y||\);\(x \cdot y = 0 \Leftrightarrow x + y = 0\);Deux vecteurs sont orthogonaux si leur produit scalaire est nul, ce qui équivaut au théorème de Pythagore : \(||x+y||^2 = ||x||^2 + ||y||^2\).
Quelle propriété relie un sous-espace vectoriel \(F\) et son orthogonal ?;\(F \oplus F^{\perp} = E\);\(F \cup F^{\perp} = E\);\(F \cap F^{\perp} = E\);\(F + F^{\perp} = F^{\perp}\);En dimension finie, tout sous-espace vectoriel F et son orthogonal F^\perp sont supplémentaires dans E, donc E = F \oplus F^\perp.
Qu'est-ce qui caractérise une base orthonormale ?;Pour tout \(i \neq j\), \(e_i \cdot e_j = 0\) et \(||e_i|| = 1\);Pour tout \(i, j\), \(e_i \cdot e_j = 1\);Pour tout \(i \neq j\), \(e_i \cdot e_j = 1\) et \(||e_i|| = 0\);Pour tout \(i\), \(||e_i|| = 0\) et les vecteurs sont liés;Une base orthonormale est formée de vecteurs deux à deux orthogonaux (\(e_i \cdot e_j = 0\) pour \(i \neq j\)) et de norme égale à 1 (\(||e_i|| = 1\)).
Comment exprimer la coordonnée \(x_i\) d'un vecteur \(v\) dans une base orthonormale ?;\(x_i = v \cdot e_i\);\(x_i = \frac{v \cdot e_i}{||v||}\);\(x_i = ||v|| \cdot ||e_i||\);\(x_i = v + e_i\);Dans une base orthonormale \((e_1, \dots, e_n)\), la décomposition de tout vecteur v est v = \sum (v \cdot e_i) e_i, donc la i-ème coordonnée est x_i = v \cdot e_i.
Quelle est la définition d'un endomorphisme orthogonal (ou isométrie) ?;\(f \in O(\mathbb{R}^n) \Leftrightarrow ||f(v)|| = ||v||\);\(\forall v, f(v) = 0\);\(\forall v, ||f(v)|| = 1\);\(\forall v, f(v) \cdot v = 0\);Une isométrie vectorielle (ou endomorphisme orthogonal) est une application linéaire qui conserve la norme : \(\forall v, ||f(v)|| = ||v||\).
Quelle est l'identité de polarisation ?;\(x \cdot y = \frac{1}{2}(||x+y||^2 - ||x||^2 - ||y||^2)\);\(x \cdot y = ||x+y||^2 - ||x-y||^2\);\(x \cdot y = \frac{1}{2}(||x||^2 + ||y||^2)\);\(x \cdot y = ||x||^2 \cdot ||y||^2\);L'identité de polarisation permet d'exprimer le produit scalaire uniquement à partir de la norme : \(x \cdot y = \frac{1}{2}(||x+y||^2 - ||x||^2 - ||y||^2)\).
Une isométrie vectorielle est-elle bijective ?;Oui;Non, elle n'est jamais injective;Non, seulement si l'espace est de dimension infinie;Uniquement si son déterminant est égal à 0;Une isométrie conserve la norme, donc son noyau est réduit au vecteur nul (injective). En dimension finie, toute injectivité implique la bijectivité.
Quelles sont les valeurs propres réelles possibles pour une isométrie ?;\(-1\) et \(1\);\(0\) et \(1\);Tout réel positif;N'importe quel nombre complexe de module différent de 1;Si \(\lambda\) est une valeur propre réelle d'une isométrie f avec vecteur propre \(v \neq 0\), alors \(||f(v)|| = ||\lambda v|| = |\lambda| ||v|| = ||v|| \implies |\lambda| = 1 \implies \lambda = \pm 1\).
