Quelle est la définition/notation de l'intégrale de \(f\) sur \([a, b]\) ?;\(\int_{a}^{b}f(x)dx\);\(\int_{a}^{b}f'(x)dx\);\(\sum_{a}^{b}f(x)\);\([f(b) - f(a)]dx\);L'intégrale d'une fonction continue \(f\) sur \([a, b]\) est notée \(\int_{a}^{b}f(x)dx\).
Quelle est la formule d'approximation par somme de Riemann ?;\(\sum_{i=0}^{\infty}(a_{i+1}-a_{i})f_{i}\);\(\sum_{i=0}^{\infty}f_{i}\);\(\int_{0}^{\infty}f(x)dx\);\(\sum_{i=0}^{\infty}(a_{i+1}+a_{i})f_{i}\);La somme de Riemann approxime l'intégrale en découpant l'intervalle en sous-intervalles.
Qu'est-ce qu'une fonction continue par morceaux sur \([a, b]\) ?;Continue sauf en un nombre fini de points, avec limites finies à gauche et à droite;Continue sur tout l'intervalle sauf en un point où elle tend vers l'infini;Dérivable sauf en un nombre fini de points;Continue sur chaque sous-intervalle mais sans limites finies aux bornes;Une fonction est continue par morceaux si elle est continue sauf en un nombre fini de points où elle admet des limites finies à gauche et à droite.
Que signifie la linéarité de l'intégrale ?;L'intégrale est une opération linéaire;L'intégrale du produit est le produit des intégrales;L'intégrale d'une fonction est toujours une droite;L'intégrale d'une composée est la composée des intégrales;La linéarité signifie que pour tous scalaires a et b, \(\int (a f + b g) = a \int f + b \int g\).
Quelle est la propriété de positivité de l'intégrale ?;Si \(f \ge 0\) et \(a < b\), alors \(\int_{a}^{b}f(x)dx \ge 0\);Si \(f \ge 0\), alors \(\int_{a}^{b}f(x)dx > 0\) quelles que soient les bornes \(a\) et \(b\);Si \(\int_{a}^{b}f(x)dx \ge 0\), alors \(f \ge 0\) partout;Si \(f \le 0\) et \(a < b\), alors \(\int_{a}^{b}f(x)dx \ge 0\);Si la fonction est positive et que l'intégration se fait dans le sens croissant (\(a < b\)), l'intégrale est positive.
Sous quelles conditions a-t-on la positivité stricte \(\int_{a}^{b}f(x)dx > 0\) (avec \(a < b\)) ?;Si \(f \ge 0\), continue et ne s'annule qu'en un nombre fini de points;Si \(f > 0\) uniquement en au moins un point;Pour toute fonction continue positive sur \([a, b]\);Si \(f\) est strictement croissante sur \([a, b]\);Si \(f \ge 0\) est continue et non identiquement nulle, son intégrale sur \([a, b]\) (\(a < b\)) est strictement positive.
Quelle est la propriété de croissance de l'intégrale ?;Si \(f \le g\) et \(a < b\), alors \(\int_{a}^{b}f(x)dx \le \int_{a}^{b}g(x)dx\);Si \(f \le g\), alors \(\int_{a}^{b}f(x)dx \ge \int_{a}^{b}g(x)dx\);Si \(\int_{a}^{b}f(x)dx \le \int_{a}^{b}g(x)dx\), alors \(f \le g\) sur \([a, b]\);Si \(f \le g\) et \(a > b\), alors \(\int_{a}^{b}f(x)dx \le \int_{a}^{b}g(x)dx\);Si \(f \le g\) sur \([a, b]\) avec \(a < b\), l'intégrale de \(f\) est inférieure ou égale à l'intégrale de \(g\).
Quelle est la relation de Chasles pour les intégrales ?;\(\int_{a}^{b}f(x)dx = \int_{a}^{c}f(x)dx + \int_{c}^{b}f(x)dx\);\(\int_{a}^{b}f(x)dx = \int_{a}^{c}f(x)dx \times \int_{c}^{b}f(x)dx\);\(\int_{a}^{b}f(x)dx = \int_{a}^{c}f(x)dx - \int_{b}^{c}f(x)dx\);\(\int_{a}^{b}f(x)dx = \int_{a+c}^{b+c}f(x)dx\);La relation de Chasles permet de découper l'intervalle d'intégration : \(\int_{a}^{b} = \int_{a}^{c} + \int_{c}^{b}\).
Que dit le théorème fondamental de l'analyse ?;Toute fonction continue admet des primitives;Toute fonction bornée admet des primitives;Toute fonction dérivable est égale à son intégrale;Toute primitive est une fonction continue par morceaux;Le théorème fondamental de l'analyse garantit l'existence de primitives pour toute fonction continue sur un intervalle.
Quelle est la propriété de la primitive définie par \(F(x) = \int_{x_{0}}^{x}f(t)dt\) ?;\(F(x) = \int_{x_{0}}^{x}f(t)dt\) est la primitive de \(f\) qui s'annule en \(x_0\);\(F\) est la primitive de \(f\) qui s'annule en \(0\);\(F\) est la dérivée de \(f\) en \(x_0\);\(F\) est une primitive quelconque de \(f\) égale à \(1\) en \(x_0\);L'application \(x \mapsto \int_{x_0}^x f(t)dt\) est l'unique primitive de \(f\) prenant la valeur \(0\) en \(x_0\).
Comment calcule-t-on \(\int_{a}^{b}f(x)dx\) à l'aide d'une primitive \(F\) de \(f\) ?;\(\int_{a}^{b}f(x)dx = [F(x)]_{a}^{b} = F(b) - F(a)\);\(\int_{a}^{b}f(x)dx = F(a) - F(b)\);\(\int_{a}^{b}f(x)dx = F(b) + F(a)\);\(\int_{a}^{b}f(x)dx = F'(b) - F'(a)\);L'intégrale d'une fonction continue s'obtient par la différence des valeurs d'une de ses primitives aux bornes : \(F(b) - F(a)\).
