Question;Correct;Coherent wrong answer 1;Coherent wrong answer 2;Coherent wrong answer 3;Explanation
Définition d'un polynôme \(P(x)\);\(P(x) = \sum_{k=0}^n a_k x^k\) avec \(a_k \in \mathbb{R}\);\(P(x) = \sum_{k=1}^n a_k x^{-k}\) avec \(a_k \in \mathbb{R}\);\(P(x) = \prod_{k=0}^n a_k x^k\) avec \(a_k \in \mathbb{R}\);\(P(x) = \sum_{k=0}^{+\infty} a_k x^k\) sans condition sur le nombre de termes non nuls;Un polynôme à une variable sur \(\mathbb{R}\) est une combinaison linéaire finie de puissances entières positives de \(x\).
Définition du degré de \(P\);Le plus grand entier \(k\) tel que \(a_k \neq 0\);Le nombre total de termes non nuls du polynôme;Le plus petit entier \(k\) tel que \(a_k \neq 0\);Le produit des coefficients non nuls;Le degré d'un polynôme non nul est l'indice du plus haut pouvoir de \(x\) ayant un coefficient non nul.
Degré du polynôme nul \(0_{\mathbb{K}[X]}\);\(-\infty\);\(0\);\(1\);Non défini / n'existe pas;Par convention, le degré du polynôme nul est fixé à \(-\infty\) pour respecter les règles de calcul des degrés (notamment \(\deg(P Q) = \deg(P) + \deg(Q)\)).
Formule de la division euclidienne;Il existe un unique couple \((Q,R)\) tel que \(A=BQ+R\) avec \(deg(R) < deg(B)\);Il existe un unique couple \((Q,R)\) tel que \(A=BQ+R\) avec \(deg(R) > deg(B)\);Il existe un unique couple \((Q,R)\) tel que \(A=BQ+R\) avec \(deg(R) = deg(B)\);Il existe une infinité de couples \((Q,R)\) tels que \(A=BQ+R\);Pour deux polynômes \(A\) et \(B\) avec \(B \neq 0\), la division euclidienne assure l'existence et l'unicité du quotient \(Q\) et du reste \(R\) avec \(\deg(R) < \deg(B)\).
Condition pour que \(B\) divise \(A\);Le reste de la division euclidienne de \(A\) par \(B\) est nul (\(R=0\));Le quotient de la division euclidienne de \(A\) par \(B\) est nul (\(Q=0\));\(\deg(A) < \deg(B)\);\(\deg(A) = \deg(B)\);Un polynôme \(B\) divise \(A\) s'il existe un polynôme \(Q\) tel que \(A = B Q\), ce qui équivaut à un reste nul dans la division euclidienne de \(A\) par \(B\).
Définition d'une racine \(q\) de \(P\);\(P(q)=0\);\(P'(q)=0\);\(P(0)=q\);\(P(q)=1\);Une racine (ou zéro) d'un polynôme \(P\) est une valeur \(q\) de la variable pour laquelle le polynôme s'annule, c'est-à-dire \(P(q)=0\).
Racine de multiplicité \(m\);Si \((x-q)^m\) divise \(P\) et \((x-q)^{m+1}\) ne divise pas \(P\);\((x-q)^m\) ne divise pas \(P\);\(P(q) = m\);\(P^{(m)}(q) \neq 0\) et \(P(q) = 0\) sans condition sur les dérivées d'ordre inférieur;\(q\) est une racine de multiplicité \(m\) de \(P\) si \((x-q)^m\) divise \(P\) et \((x-q)^{m+1}\) ne le divise pas, équivalent à \(P(q)=P'(q)=\dots=P^{(m-1)}(q)=0\) et \(P^{(m)}(q) \neq 0\).
Théorème de D'Alembert-Gauss;Tout polynôme non constant à coefficients complexes admet au moins une racine complexe;Tout polynôme admet au moins une racine réelle;Tout polynôme de degré \(n\) a exactement \(n\) racines réelles distinctes;Seuls les polynômes de degré impair admettent des racines complexes;Le théorème fondamental de l'algèbre (D'Alembert-Gauss) énonce que tout polynôme non constant dans \(\mathbb{C}[X]\) possède au moins une racine dans \(\mathbb{C}\).
Polynômes irréductibles dans \(\mathbb{C}[X]\);Polynômes de degré 1;Polynômes de degré 1 et polynômes de degré 2;Polynômes de degré pair;Tous les polynômes sont irréductibles dans \(\mathbb{C}[X]\);Dans \(\mathbb{C}[X]\), d'après le théorème de D'Alembert-Gauss, les seuls polynômes irréductibles sont les polynômes de degré 1.
Polynômes irréductibles dans \(\mathbb{R}[X]\);Polynômes de degré 1 et de degré 2 à discriminant strictly négatif (\(\Delta < 0\));Polynômes de degré 1 uniquement;Polynômes de degré 1, 2 et 3;Tous les polynômes de degré pair;Dans \(\mathbb{R}[X]\), les éléments irréductibles sont les polynômes de degré 1 et les polynômes de degré 2 sans racines réelles (\(\Delta < 0\)).
