Définition du déterminant (application);Application de \( M_n(K) \) dans \( K \) linéaire par rapport à chaque colonne.;Application de \( M_n(K) \) dans \( M_n(K) \) linéaire par rapport à chaque colonne.;Application de \( M_n(K) \) dans \( K \) linéaire par rapport à l'ensemble de la matrice.;Application de \( K \) dans \( M_n(K) \) bilinéaire et symétrique.;Le déterminant est une forme multilinéaire alternée des colonnes d'une matrice, envoyant \( M_n(K) \) dans le corps des scalaires \( K \).
Effet de l'échange de deux colonnes sur le déterminant;Multiplie le déterminant par \(-1\).;Le déterminant reste inchangé.;Multiplie le déterminant par \(0\).;Divise le déterminant par \(2\).;Le déterminant est une application alternée : l'échange de deux colonnes (transposition) change son signe.
Valeur du déterminant de la matrice identité \( I_n \);\( 1 \).;\( 0 \).;\( n \).;\( -1 \).;Par normalisation de la forme n-linéaire alternée, \( \det(I_n) = 1 \).
Valeur du déterminant si deux colonnes sont proportionnelles;\( 0 \).;\( 1 \).;\( n \).;Le produit des deux facteurs de proportionnalité.;Si deux colonnes sont liées (proportionnelles), la famille des colonnes n'est pas libre, donc le déterminant est nul.
Propriété du déterminant pour \( \lambda A \) avec \( A \in M_n(K) \);\( \det(\lambda A) = \lambda^n \det(A) \).;\( \det(\lambda A) = \lambda \det(A) \).;\( \det(\lambda A) = n \lambda \det(A) \).;\( \det(\lambda A) = \lambda^2 \det(A) \).;Comme le déterminant est n-linéaire par rapport aux \( n \) colonnes, multiplier chaque colonne par \( \lambda \) multiplie le déterminant par \( \lambda^n \).
Effet de l'opération \( C_i \leftarrow C_i + \lambda C_j \);Le déterminant reste inchangé.;Le déterminant est multiplié par \( \lambda \).;Le déterminant devient nul.;Le déterminant est multiplié par \( -1 \).;Ajouter à une colonne une combinaison linéaire des autres colonnes (opération élémentaire de transvection) ne modifie pas le déterminant.
Calcul du déterminant d'une matrice triangulaire ou diagonale;Produit des éléments diagonaux.;Somme des éléments diagonaux.;Trace de la matrice.;Produit des éléments de la première ligne.;Pour une matrice triangulaire (supérieure ou inférieure) ou diagonale, les termes non diagonaux dans le développement s'annulent, il ne reste que le produit des éléments diagonaux.
Propriété multiplicative du déterminant;\( \det(AB) = \det(A) \times \det(B) \).;\( \det(AB) = \det(A) + \det(B) \).;\( \det(A+B) = \det(A) + \det(B) \).;\( \det(AB) = \det(A) / \det(B) \).;Le déterminant est un morphisme de groupes multiplicatifs de \( GL_n(K) \) dans \( K^* \), donc \( \det(AB) = \det(A)\det(B) \).
Relation entre déterminant et inversibilité;\( A \) est inversible si et seulement si \( \det(A) \neq 0 \).;\( A \) est inversible si et seulement si \( \det(A) = 0 \).;\( A \) est inversible si et seulement si \( \det(A) > 0 \).;\( A \) est inversible si et seulement si \( \det(A) = 1 \).;Une matrice carrée est inversible si et seulement si ses colonnes forment une famille libre, ce qui équivaut à un déterminant non nul.
Calcul du déterminant de l'inverse \( A^{-1} \);\( \det(A^{-1}) = \frac{1}{\det(A)} \).;\( \det(A^{-1}) = -\det(A) \).;\( \det(A^{-1}) = \det(A) \).;\( \det(A^{-1}) = (\det(A))^n \).;Puisque \( A A^{-1} = I_n \), on a \( \det(A)\det(A^{-1}) = \det(I_n) = 1 \), d'où \( \det(A^{-1}) = \frac{1}{\det(A)} \).
Relation entre \( \det(A) \) et \( \det(A^t) \) (transposée);\( \det(A^t) = \det(A) \).;\( \det(A^t) = -\det(A) \).;\( \det(A^t) = \frac{1}{\det(A)} \).;\( \det(A^t) = (-1)^n \det(A) \).;La transposition préserve le déterminant, ce qui montre que toutes les propriétés sur les colonnes s'appliquent aussi aux lignes.
Définition du mineur \( \Delta_{ij} \);Déterminant obtenu en supprimant la ligne \( i \) et la colonne \( j \) de la matrice.;Déterminant obtenu en gardant uniquement la ligne \( i \) et la colonne \( j \).;Élément situé à l'intersection de la ligne \( i \) et de la colonne \( j \).;Déterminant de la matrice sous-jacente de taille \( (n+1) \times (n+1) \).;Le mineur \( \Delta_{ij} \) de l'élément \( a_{ij} \) est le déterminant de la sous-matrice de taille \( (n-1) \times (n-1) \) extraite en supprimant la ligne \( i \) et la colonne \( j \).
Formule de développement par rapport à la \( j \)-ème colonne;\( \det(A) = \sum_{i=1}^{n}(-1)^{i+j}a_{ij}\Delta_{ij} \).;\( \det(A) = \sum_{i=1}^{n}a_{ij}\Delta_{ij} \).;\( \det(A) = \sum_{j=1}^{n}(-1)^{i+j}a_{ij}\Delta_{ij} \).;\( \det(A) = \sum_{i=1}^{n}(-1)^{i}\Delta_{ij} \).;Le développement par rapport à la \( j \)-ème colonne fait intervenir le cofacteur \( C_{ij} = (-1)^{i+j}\Delta_{ij} \), d'où la somme \( \sum_{i=1}^{n}(-1)^{i+j}a_{ij}\Delta_{ij} \).
Déterminant d'une matrice par blocs \( \begin{pmatrix} B & C \\ 0 & D \end{pmatrix} \);\( \det(B) \times \det(D) \).;\( \det(B) + \det(D) \).;\( \det(B)\det(D) - \det(C) \).;\( \det(B) \times \det(C) \times \det(D) \).;Pour une matrice triangulaire par blocs avec des blocs carrés \( B \) et \( D \) sur la diagonale, le déterminant est égal au produit des déterminants des blocs diagonaux \( \det(B) \times \det(D) \).
Définition du déterminant d'une famille de vecteurs \( (v_1...v_n) \);\( \det_B(v_1...v_n) = \det(Mat_B(v_1...v_n)) \).;\( \det_B(v_1...v_n) = Tr(Mat_B(v_1...v_n)) \).;\( \det_B(v_1...v_n) = \sum_{i=1}^n v_i \).;\( \det_B(v_1...v_n) = \det(B) \times \det(v_1...v_n) \).;Le déterminant d'une famille de vecteurs dans une base \( B \) est le déterminant de la matrice dont les colonnes sont les coordonnées de ces vecteurs dans la base \( B \).
Condition pour qu'une famille \( (v_1...v_n) \) soit une base;\( \det_B(v_1...v_n) \neq 0 \).;\( \det_B(v_1...v_n) = 0 \).;\( \det_B(v_1...v_n) = 1 \).;\( \det_B(v_1...v_n) > 0 \).;Une famille de \( n \) vecteurs dans un espace de dimension \( n \) est une base si et seulement si son déterminant dans une base quelconque est non nul.
Définition du déterminant d'un endomorphisme \( f \);\( \det(f) = \det(Mat_B(f)) \).;\( \det(f) = Tr(Mat_B(f)) \).;\( \det(f) = \det(B) \).;\( \det(f) = \dim(\text{Ker}(f)) \).;Le déterminant d'un endomorphisme est le déterminant de sa matrice représentative dans une base quelconque \( B \); cette valeur ne dépend pas du choix de la base.
Condition pour qu'un endomorphisme \( f \) soit un automorphisme;\( \det(f) \neq 0 \).;\( \det(f) = 0 \).;\( \det(f) = 1 \).;\( \det(f) > 0 \).;Un endomorphisme est un automorphisme (bijectif) si et seulement si son déterminant est non nul.
