Question;Correct;Wrong1;Wrong2;Wrong3;Explanation
Forme générale d'une équation linéaire d'ordre 2 (E) ?;\(y''(x)+a(x)y'(x)+b(x)y(x)=f(x)\);\(y''(x)+a(x)y'(x)=0\);\(y'(x)+a(x)y(x)=f(x)\);\(y''(x)+b(x)y(x)=f(x)\);Une équation linéaire d'ordre 2 fait intervenir la dérivée seconde de \(y\) ainsi que des termes en \(y'\) et \(y\) avec un second membre \(f(x)\).
Forme de l'équation homogène (H) associée à l'ordre 2 ?;\(y''(x)+a(x)y'(x)+b(x)y(x)=0\);\(y''(x)+a(x)y'(x)+b(x)y(x)=f(x)\);\(y'(x)+a(x)y(x)=0\);\(y''(x)+a(x)y'(x)=0\);L'équation homogène correspond à l'équation avec un second membre nul.
Quelle est la structure de l'ensemble des solutions de (H) ?;C'est un espace vectoriel de dimension 2.;C'est un espace vectoriel de dimension 1.;C'est un espace affine de dimension 2.;C'est une droite vectorielle.;L'ensemble des solutions d'une équation différentielle linéaire homogène d'ordre 2 est un espace vectoriel de dimension 2.
Comment s'écrit la solution générale de (H) ?;\(y(x)=A y_1(x)+B y_2(x)\) avec \(y_1\) et \(y_2\) linéairement indépendantes.;\(y(x)=y_1(x)+y_2(x)\) avec \(y_1\) et \(y_2\) linéairement dépendantes.;\(y(x)=A y_1(x) B y_2(x)\);\(y(x)=A y_1(x)\);La solution générale est une combinaison linéaire de deux solutions linéairement indépendantes formant une base.
Comment s'écrit la solution générale de (E) ?;Solution particulière de (E) + Solution générale de (H).;Solution générale de (H) + Solution particulière de (H).;Solution générale de (E) + Solution particulière de (H).;Uniquement la solution générale de (H).;On superpose une solution particulière de l'équation complète à la solution générale de l'équation homogène.
Que garantit le problème de Cauchy pour une équation d'ordre 2 ?;L'existence et l'unicité d'une solution vérifiant \(y(x_0)=\alpha\) et \(y'(x_0)=\beta\).;Seulement l'existence d'une solution.;L'existence et l'unicité d'une solution vérifiant \(y(x_0)=\alpha\).;L'unicité de la solution sans conditions initiales.;Le théorème de Cauchy-Lipschitz garantit existence et unicité à partir d'une position et d'une vitesse initiales.
En quoi consiste le principe de superposition des solutions ?;Si le second membre est \(f_1+f_2\), on additionne une solution particulière de \(f_1\) et une de \(f_2\).;On multiplie les solutions particulières.;On prend le maximum entre \(f_1\) et \(f_2\).;On résout pour \(f_1\) et on ignore \(f_2\).;Par linéarité, la somme des solutions particulières correspond à la somme des seconds membres.
Quand utilise-t-on la méthode de la variation de la constante ?;Lorsqu'on connaît une solution \(h\) ne s'annulant pas de l'équation homogène (H).;Lorsqu'on connaît une solution particulière de (E).;Lorsque l'équation est non linéaire.;Lorsque l'équation n'a pas de second membre.;C'est une méthode d'abaissement de l'ordre ou de recherche de solution particulière nécessitant une solution de (H).
Quel est le changement effectué dans la variation de la constante ?;On pose \(y=hz\) où \(z\) est une fonction inconnue.;On pose \(y=h+z\).;On pose \(y=z/h\).;On pose \(y'=hz'\).;La constante de la solution homogène \(y=Ch\) devient une fonction inconnue \(z(x)\).
Que devient l'équation après avoir posé \(y=hz\) ?;Une équation d'ordre 2 incomplète en \(z\) : la fonction \(z\) disparaît, il ne reste que \(z'\) et \(z''\).;Une équation du premier ordre en \(z\).;Une équation où \(z'\) disparaît.;Une équation non linéaire.;Comme \(h\) est solution de (H), les termes en \(z\) s'annulent.
Comment résoudre l'équation incomplète issue de la variation de la constante ?;On abaisse le degré en posant \(v=z'\) pour se ramener à une équation d'ordre 1.;On intègre deux fois directement.;On pose \(v=z''\).;On utilise des séries entières.;Poser \(v=z'\) transforme l'équation d'ordre 2 sans \(z\) en équation d'ordre 1 en \(v\).
Quel oubli classique faut-il éviter lors de la variation de la constante ?;Oublier la constante d'intégration \(D\) en calculant la primitive de \(z'\).;Oublier de dériver \(h\).;Oublier de remplacer \(z\) par \(v\).;Oublier de multiplier par \(z''\).;Lors de l'intégration pour trouver \(z\), il faut inclure une constante pour obtenir la solution générale complète.
Quel est le principe du changement de fonction ?;Utiliser une fonction auxiliaire \(z\) (donnée) et exprimer \(y, y', y''\) en fonction de \(z\).;Remplacer la variable temporelle \(x\).;Diviser l'équation par une fonction arbitraire.;Intégrer la fonction \(y\) avant de la remplacer.;On cherche à écrire l'équation différentielle pour la nouvelle fonction \(z\).
Quel est l'objectif d'un changement de fonction ?;Remplacer dans (E) pour obtenir une équation (E') en \(z\) plus simple à résoudre.;Augmenter l'ordre de l'équation.;Rendre l'équation non linéaire.;Éliminer la variable \(x\).;L'objectif est de se ramener à une forme connue ou plus simple, souvent à coefficients constants.
Quel est le principe du changement de variable ?;On modifie la variable temporelle ou spatiale en posant \(t=u(x)\) et \(y(x)=z(t)\).;On pose \(y(x) = z(x)u(x)\).;On modifie uniquement le second membre.;On change la fonction sans changer la variable.;On transforme l'équation en une nouvelle équation différentielle où la dérivation se fait par rapport à \(t\).
Comment s'écrit la dérivée première lors d'un changement de variable \(t=u(x)\) ?;\(y'(x)=t'z'(t)\);\(y'(x)=z'(t)\);\(y'(x)=t' + z'(t)\);\(y'(x)=z(t)t'\);C'est l'application directe de la formule de dérivation des fonctions composées.
Comment s'écrit la dérivée seconde lors d'un changement de variable \(t=u(x)\) ?;\(y''(x)=t''z'(t)+(t')^2z''(t)\);\(y''(x)=t''z''(t)\);\(y''(x)=(t')^2z''(t)\);\(y''(x)=t''z'(t) + t'z''(t)\);On dérive \(y'(x) = t' z'(t)\) par rapport à \(x\) en utilisant la dérivée d'un produit.
Quelle est la forme d'une équation à variables séparables ?;\(a(x)+b(x)y(x)y'(x)=0\);\(a(x)y'(x)+b(x)y(x)=0\);\(y'(x) + a(x)y(x) = b(x)\);\(y''(x) + a(x)y'(x) = 0\);Une équation à variables séparables permet de regrouper tous les termes en \(y\) d'un côté et en \(x\) de l'autre.
Comment résoudre une équation à variables séparables ?;Regrouper les termes en \(x\) d'un côté et en \(y\) de l'autre, puis intégrer séparément.;Utiliser la variation de la constante.;Résoudre l'équation caractéristique associée.;Dériver deux fois chaque côté.;On sépare les variables \(x\) et \(y\) de part et d'autre de l'égalité pour pouvoir primitiver.
Sous quelle forme obtient-on généralement la solution d'une équation à variables séparables ?;Sous forme implicite (on ne peut pas toujours isoler \(y\)).;Toujours sous forme explicite \(y=f(x)\).;Sous forme d'une série entière.;Sous forme d'une matrice.;L'intégration donne souvent une relation \(G(y) = F(x) + C\) où on ne peut pas expliciter \(y\) facilement.
Comment identifier une équation non linéaire incomplète en \(y\) ?;La fonction \(y\) n'apparaît pas, l'équation ne contient que des \(x\) et des \(y'\).;La variable \(x\) n'apparaît pas.;Elle est linéaire.;Elle contient seulement des \(y\) et des \(y'\).;L'équation s'écrit sous la forme \(F(x, y', y'') = 0\) ou \(F(x, y')=0\).
Comment résoudre une équation incomplète en \(y\) ?;Isoler \(y'(x)\) et chercher directement une primitive.;Dériver l'équation par rapport à \(x\).;Utiliser un changement de variable complexe.;Diviser par \(y\).;Si l'équation s'écrit \(y'(x) = f(x)\), on intègre directement pour trouver \(y\).
Comment identifier une équation non linéaire incomplète en \(x\) ?;La variable \(x\) n'apparaît pas, l'équation ne contient que des \(y\) et des \(y'\).;La fonction \(y\) n'apparaît pas.;Elle ne contient que des \(x\) et des \(y'\).;Elle contient un second membre dépendant de \(x\).;L'équation est autonome, la variable \(x\) (ou le temps) n'intervient pas explicitement.
Comment résoudre une équation incomplète en \(x\) ?;Regrouper \(y'\) avec les termes en \(y\) et intégrer (souvent via une décomposition en éléments simples).;Intégrer directement par rapport à \(x\).;Poser \(v = y'\) et dériver.;Chercher une solution sous forme de polynôme.;On intègre en écrivant \(dy/f(y) = dx\), ce qui peut nécessiter une décomposition en éléments simples.
