Quelle est la définition de la dérivée de \(f\) en \(x_0\) ?;\(f'(x_0) = \lim_{h \to 0} \frac{f(x_0+h) - f(x_0)}{h}\);\(f'(x_0) = \lim_{h \to 0} \frac{f(x_0+h) + f(x_0)}{h}\);\(f'(x_0) = \lim_{x \to 0} \frac{f(x) - f(x_0)}{x - x_0}\);\(f'(x_0) = \frac{f(x_0+h) - f(x_0)}{h}\);La dérivée en \(x_0\) est la limite du taux d'accroissement lorsque \(h \to 0\).
Quelle est la formule de l'approximation affine (équation de la tangente) de \(f\) en \(x_0\) ?;\(y = f(x_0) + f'(x_0)(x - x_0)\);\(y = f'(x_0) + f(x_0)(x - x_0)\);\(y = f(x_0) - f'(x_0)(x - x_0)\);\(y = f(x_0) + f'(x_0)(x + x_0)\);La droite tangente à la courbe en \(x_0\) a pour équation \(y = f(x_0) + f'(x_0)(x - x_0)\).
Quel est le développement limité à l'ordre 1 (\(DL_1\)) de \(f\) en \(x_0\) ?;\(f(x) = f(x_0) + f'(x_0)(x - x_0) + o(x - x_0)\);\(f(x) = f(x_0) + f'(x_0)(x - x_0) + o(1)\);\(f(x) = f'(x_0) + f(x_0)(x - x_0) + o(x - x_0)\);\(f(x) = f(x_0) + f''(x_0)(x - x_0) + o(x - x_0)\);Le \(DL_1\) en \(x_0\) est l'approximation affine complétée par un reste négligeable devant \(x-x_0\).
Quel est le lien entre la continuité et la dérivabilité d'une fonction en un point \(x_0\) ?;Si \(f\) est dérivable en \(x_0\), alors elle est continue. La réciproque est fausse.;Si \(f\) est continue en \(x_0\), alors elle est dérivable. La réciproque est fausse.;La dérivabilité et la continuité sont des propriétés équivalentes en \(x_0\).;Si \(f\) est dérivable en \(x_0\), elle n'est pas nécessairement continue.;La dérivabilité implique la continuité, mais une fonction continue (comme la fonction valeur absolue en 0) peut ne pas être dérivable.
Quelle est la dérivée de la somme de deux fonctions \((u+v)'\) ?;\((u+v)' = u' + v'\);\((u+v)' = u'v + uv'\);\((u+v)' = u'v'\);\((u+v)' = u' + v' + u v\);La dérivation est un opérateur linéaire: la dérivée d'une somme est la somme des dérivées.
Quelle est la formule de la dérivée d'un produit de fonctions \((uv)'\) ?;\((uv)' = u'v + uv'\);\((uv)' = u'v'\);\((uv)' = u'v - uv'\);\((uv)' = \frac{u'v + uv'}{2}\);La règle du produit (formule de Leibniz d'ordre 1) donne \((uv)' = u'v + uv'\).
Quelle est la formule de la dérivée d'un quotient \((u/v)'\) ?;\(\left(\frac{u}{v}\right)' = \frac{u'v - uv'}{v^2}\);\(\left(\frac{u}{v}\right)' = \frac{u'v + uv'}{v^2}\);\(\left(\frac{u}{v}\right)' = \frac{u'}{v'}\);\(\left(\frac{u}{v}\right)' = \frac{uv' - u'v}{v^2}\);Pour dériver un quotient, la formule est \(\frac{u'v - uv'}{v^2}\).
Quelle est la formule de la dérivée d'une fonction composée \((f \circ g)'(x_0)\) ?;\((f \circ g)'(x_0) = g'(x_0) \times f'(g(x_0))\);\((f \circ g)'(x_0) = f'(x_0) \times g'(x_0)\);\((f \circ g)'(x_0) = f'(g'(x_0))\);\((f \circ g)'(x_0) = f'(g(x_0))\);Selon la règle de chaîne, la dérivée de \(f(g(x))\) est \(g'(x) f'(g(x))\).
Quelle est la formule de la dérivée de la fonction réciproque \((f^{-1})'(y_0)\) avec \(y_0 = f(x_0)\) ?;\((f^{-1})'(y_0) = \frac{1}{f'(x_0)}\);\((f^{-1})'(y_0) = -\frac{1}{f'(x_0)}\);\((f^{-1})'(y_0) = f'(x_0)\);\((f^{-1})'(y_0) = \frac{1}{f'(y_0)}\);Si \(f\) est bijective et dérivable en \(x_0\) avec \(f'(x_0) \neq 0\), alors \((f^{-1})'(y_0) = \frac{1}{f'(x_0)}\).
Que signifie qu'une fonction \(f\) soit de classe \(C^1\) sur un intervalle ?;\(f\) est dérivable et sa dérivée \(f'\) est continue sur l'intervalle.;\(f\) est dérivable deux fois sur l'intervalle.;\(f\) est continue et sa dérivée première est bornée.;\(f\) admet un développement limité à l'ordre 1.;Une fonction est de classe \(C^1\) si elle est dérivable et que sa fonction dérivée est continue.
Si une fonction dérivable \(f\) admet un extremum local en un point intérieur \(x_0\), que vaut \(f'(x_0)\) ?;\(f'(x_0) = 0\);\(f'(x_0) = 1\);\(f'(x_0) > 0\);\(f''(x_0) = 0\);Si un extremum local est atteint en un point intérieur où la fonction est dérivable, la dérivée s'y annule (point critique).
