Question;Correct;Fausses_1;Fausses_2;Fausses_3;Explication
Condition de continuité en un point \(a\);\(\lim_{x \to a} ||f(x)-f(a)|| = 0\);\(\lim_{x \to a} ||f(x)|| = f(a)\);\(\lim_{x \to 0} ||f(x)-f(a)|| = a\);\(\exists M \in \mathbb{R}, ||f(x)-f(a)|| \le M\);La fonction f est continue en a si la limite de f(x) quand x tend vers a est égale à f(a), soit \(\lim_{x \to a} ||f(x)-f(a)|| = 0\).
Définition d'une fonction bornée;\(\exists M \in \mathbb{R}, ||f(x)|| \le M\);\(\forall M \in \mathbb{R}, ||f(x)|| \ge M\);\(\exists M \in \mathbb{R}, ||f(x)|| > M\);\(\lim_{x \to \infty} ||f(x)|| = M\);Une fonction f est bornée s'il existe un réel M supérieur ou égal à la norme de f(x) pour tout x du domaine.
Propriété sur une partie fermée et bornée;La fonction y est bornée et atteint ses bornes;La fonction y est strictement croissante;La fonction y est continue mais non bornée;La fonction y admet une unique racine;Toute fonction continue sur un compact (partie fermée et bornée) est bornée et atteint ses bornes.
Définition de la dérivée partielle en \(x\);\(\frac{\partial f}{\partial x}(a,b) = \lim_{h \to 0} \frac{f(a+h,b)-f(a,b)}{h}\);\(\frac{\partial f}{\partial x}(a,b) = \lim_{h \to 0} \frac{f(a,b+h)-f(a,b)}{h}\);\(\frac{\partial f}{\partial x}(a,b) = \lim_{h \to 0} \frac{f(a+h,b+h)-f(a,b)}{h}\);\(\frac{\partial f}{\partial x}(a,b) = \lim_{h \to 0} \frac{f(a+h,b)-f(a,b)}{a}\);La dérivée partielle par rapport à x correspond au taux d'accroissement par rapport à la première variable x en maintenant y fixe.
Fonction de classe \(C^n\);Les dérivées partielles jusqu'à l'ordre \(n\) existent et sont continues;Les dérivées partielles jusqu'à l'ordre \(n\) existent mais ne sont pas nécessairement continues;Seules les dérivées partielles d'ordre 1 existent et sont n-fois dérivables;La fonction est polynomiale de degré n;Une fonction est de classe C^n si toutes ses dérivées partielles jusqu'à l'ordre n existent et sont continues.
Expression du vecteur gradient;\(\vec{\nabla}f(a,b) = (\frac{\partial f}{\partial x}(a,b), \frac{\partial f}{\partial y}(a,b))\);\(\vec{\nabla}f(a,b) = (\frac{\partial f}{\partial y}(a,b), \frac{\partial f}{\partial x}(a,b))\);\(\vec{\nabla}f(a,b) = \frac{\partial f}{\partial x}(a,b) + \frac{\partial f}{\partial y}(a,b)\);\(\vec{\nabla}f(a,b) = (\frac{\partial^2 f}{\partial x^2}(a,b), \frac{\partial^2 f}{\partial y^2}(a,b))\);Le gradient est le vecteur formé par les dérivées partielles du premier ordre par rapport à chaque variable.
Développement limité à l'ordre 1;\(f(a+h,b+k) = f(a,b) + h\frac{\partial f}{\partial x}(a,b) + k\frac{\partial f}{\partial y}(a,b) + o(||(h,k)||)\);\(f(a+h,b+k) = f(a,b) + k\frac{\partial f}{\partial x}(a,b) + h\frac{\partial f}{\partial y}(a,b) + o(||(h,k)||)\);\(f(a+h,b+k) = h\frac{\partial f}{\partial x}(a,b) + k\frac{\partial f}{\partial y}(a,b) + o(||(h,k)||)\);\(f(a+h,b+k) = f(a,b) + h^2\frac{\partial f}{\partial x}(a,b) + k^2\frac{\partial f}{\partial y}(a,b) + o(||(h,k)||)\);Le DL1 exprime l'approximation linéaire au voisinage de (a,b) via la valeur en (a,b) et la somme des dérivées partielles pondérées par les accroissements.
Dérivée de la composée \(h = R(f,g)\);\(\frac{\partial h}{\partial u} = \frac{\partial R}{\partial x}\frac{\partial f}{\partial u} + \frac{\partial R}{\partial y}\frac{\partial g}{\partial u}\);\(\frac{\partial h}{\partial u} = \frac{\partial R}{\partial x}\frac{\partial g}{\partial u} + \frac{\partial R}{\partial y}\frac{\partial f}{\partial u}\);\(\frac{\partial h}{\partial u} = \frac{\partial R}{\partial f}\frac{\partial R}{\partial g}\);\(\frac{\partial h}{\partial u} = \frac{\partial R}{\partial x} + \frac{\partial R}{\partial y}\);Formule de dérivation en chaîne pour les fonctions de plusieurs variables composées.
Théorème de Schwarz;\(\frac{\partial^2 f}{\partial x \partial y} = \frac{\partial^2 f}{\partial y \partial x}\);\(\frac{\partial^2 f}{\partial x^2} = \frac{\partial^2 f}{\partial y^2}\);\(\frac{\partial f}{\partial x} = \frac{\partial f}{\partial y}\);\(\frac{\partial^2 f}{\partial x \partial y} = -\frac{\partial^2 f}{\partial y \partial x}\);Le théorème de Schwarz garantit l'égalité des dérivées partielles croisées pour une fonction de classe C^2.
Notations de Monge;\(r = \frac{\partial^2 f}{\partial x^2}\), \(s = \frac{\partial^2 f}{\partial x \partial y}\), \(t = \frac{\partial^2 f}{\partial y^2}\);\(r = \frac{\partial f}{\partial x}\), \(s = \frac{\partial f}{\partial y}\), \(t = \frac{\partial^2 f}{\partial x \partial y}\);\(r = \frac{\partial^2 f}{\partial y^2}\), \(s = \frac{\partial^2 f}{\partial x^2}\), \(t = \frac{\partial^2 f}{\partial x \partial y}\);\(r = \frac{\partial^2 f}{\partial x \partial y}\), \(s = \frac{\partial^2 f}{\partial x^2}\), \(t = \frac{\partial^2 f}{\partial y^2}\);Les notations de Monge désignent les dérivées partielles secondes : r = d^2f/dx^2, s = d^2f/dxdy, t = d^2f/dy^2.
