Question;Correct;Option 3;Option 4;Option 5;Explanation
Condition pour fonction continue par morceaux (cpm) sur [a; b] ?;\(f\) continue sauf en un nombre fini de points, où elle admet une limite finie.;\(f\) continue sauf en un nombre fini de points, où elle tend vers l'infini.;\(f\) dérivable sauf en un nombre fini de points de \([a,b]\).;\(f\) admet au plus une infinité dénombrable de points de discontinuité de première espèce.;Une fonction est cpm sur \([a; b]\) si elle est continue sur \([a; b]\) privé d'un ensemble fini de points, et si en chaque point de discontinuité, elle admet une limite à gauche et une limite à droite finies.
Coefficient de Fourier \(a_0(f)\) ?;\(a_0(f)=\frac{1}{T}\int_0^T f(x)dx\);\(a_0(f)=\frac{2}{T}\int_0^T f(x)dx\);\(a_0(f)=\frac{1}{2T}\int_0^T f(x)dx\);\(a_0(f)=\int_0^T f(x)dx\);Le coefficient \(a_0(f)\) représente la valeur moyenne de la fonction \(f\) sur une période \(T\), donnée par \(\frac{1}{T}\int_0^T f(x)dx\).
Coefficient de Fourier \(a_n(f)\) ?;\(a_n(f)=\frac{2}{T}\int_0^T f(x)\cos(n\omega x)dx\);\(a_n(f)=\frac{1}{T}\int_0^T f(x)\cos(n\omega x)dx\);\(a_n(f)=\frac{2}{T}\int_0^T f(x)\sin(n\omega x)dx\);\(a_n(f)=\frac{4}{T}\int_0^T f(x)\cos(n\omega x)dx\);Pour \(n \ge 1\), le coefficient réel \(a_n(f)\) associé à la composante cosinus est \(\frac{2}{T}\int_0^T f(x)\cos(n\omega x)dx\).
Coefficient de Fourier \(b_n(f)\) ?;\(b_n(f)=\frac{2}{T}\int_0^T f(x)\sin(n\omega x)dx\);\(b_n(f)=\frac{1}{T}\int_0^T f(x)\sin(n\omega x)dx\);\(b_n(f)=\frac{2}{T}\int_0^T f(x)\cos(n\omega x)dx\);\(b_n(f)=\frac{4}{T}\int_0^T f(x)\sin(n\omega x)dx\);Pour \(n \ge 1\), le coefficient réel \(b_n(f)\) associé à la composante sinus est \(\frac{2}{T}\int_0^T f(x)\sin(n\omega x)dx\).
Coefficient de Fourier complexe \(C_n(f)\) ?;\(C_n(f)=\frac{1}{T}\int_0^T f(x)e^{-in\omega x}dx\);\(C_n(f)=\frac{1}{T}\int_0^T f(x)e^{in\omega x}dx\);\(C_n(f)=\frac{2}{T}\int_0^T f(x)e^{-in\omega x}dx\);\(C_n(f)=\frac{1}{2T}\int_0^T f(x)e^{-in\omega x}dx\);Le coefficient complexe \(C_n(f)\) pour \(n \in \mathbb{Z}\) est défini par \(\frac{1}{T}\int_0^T f(x)e^{-in\omega x}dx\) avec l'exposant négatif \(-in\omega x\).
Lien entre coefficients complexes et réels ?;\(C_n(f)=\frac{1}{2}(a_n(f)-ib_n(f))\);\(C_n(f)=\frac{1}{2}(a_n(f)+ib_n(f))\);\(C_n(f)=a_n(f)-ib_n(f)\);\(C_n(f)=a_n(f)+ib_n(f)\);En utilisant la formule d'Euler pour \(e^{-in\omega x} = \cos(n\omega x) - i\sin(n\omega x)\), on obtient \(C_n(f)=\frac{1}{2}(a_n(f)-ib_n(f))\) pour \(n \ge 1\).
Coefficients pour une fonction paire ?;\(b_n=0\), \(a_0(f)=\frac{2}{T}\int_0^{T/2} f(x)dx\), \(a_n(f)=\frac{4}{T}\int_0^{T/2} f(x)\cos(n\omega x)dx\);\(a_n=0\), \(a_0(f)=0\), \(b_n(f)=\frac{4}{T}\int_0^{T/2} f(x)\sin(n\omega x)dx\);\(b_n=0\), \(a_0(f)=\frac{1}{T}\int_0^{T/2} f(x)dx\), \(a_n(f)=\frac{2}{T}\int_0^{T/2} f(x)\cos(n\omega x)dx\);\(a_0(f)=0\), \(a_n(f)=\frac{2}{T}\int_0^{T/2} f(x)\cos(n\omega x)dx\), \(b_n(f)=\frac{2}{T}\int_0^{T/2} f(x)\sin(n\omega x)dx\);Si \(f\) est paire, le produit avec \(\sin\) est impair donc \(b_n(f)=0\), et l'intégrale d'une fonction paire sur \([-T/2, T/2]\) se réduit à deux fois l'intégrale sur \([0, T/2]\).
Coefficients pour une fonction impaire ?;\(a_0(f)=0\), \(a_n(f)=0\), \(b_n(f)=\frac{4}{T}\int_0^{T/2} f(x)\sin(n\omega x)dx\);\(b_n=0\), \(a_0(f)=\frac{2}{T}\int_0^{T/2} f(x)dx\), \(a_n(f)=\frac{4}{T}\int_0^{T/2} f(x)\cos(n\omega x)dx\);\(a_0(f)=0\), \(a_n(f)=\frac{2}{T}\int_0^{T/2} f(x)\cos(n\omega x)dx\), \(b_n(f)=0\);\(a_0(f)=\frac{1}{T}\int_0^{T/2} f(x)dx\), \(a_n(f)=0\), \(b_n(f)=\frac{2}{T}\int_0^{T/2} f(x)\sin(n\omega x)dx\);Si \(f\) est impaire, sa moyenne est nulle (\(a_0=0\)) et son produit avec \(\cos\) est impair donc \(a_n(f)=0\). Seuls les coefficients \(b_n\) associés aux sinus sont non nuls.
Formule de Parseval ?;\(\frac{1}{T}\int_{-T/2}^{T/2}|f(t)|^2dt=a_0(f)^2+\frac{1}{2}\sum_{n=1}^{+\infty}(a_n(f)^2+b_n(f)^2)\);\(\frac{1}{T}\int_{-T/2}^{T/2}|f(t)|^2dt=a_0(f)^2+\sum_{n=1}^{+\infty}(a_n(f)^2+b_n(f)^2)\);\(\int_{-T/2}^{T/2}|f(t)|^2dt=a_0(f)^2+\frac{1}{2}\sum_{n=1}^{+\infty}(a_n(f)^2+b_n(f)^2)\);\(\frac{1}{T}\int_{-T/2}^{T/2}|f(t)|^2dt=\sum_{n=1}^{+\infty}(a_n(f)^2+b_n(f)^2)\);La formule de Parseval exprime la conservation de la puissance : la valeur moyenne du carré de \(f\) s'exprime comme \(a_0(f)^2 + \frac{1}{2}\sum_{n=1}^{+\infty}(a_n(f)^2+b_n(f)^2)\).
Somme partielle de Fourier \(S_n(f)(t)\) ?;\(S_n(f)(t)=a_0(f)+\sum_{k=1}^n(a_k(f)\cos(k\omega t)+b_k(f)\sin(k\omega t))\);\(S_n(f)(t)=\sum_{k=0}^n(a_k(f)\cos(k\omega t)+b_k(f)\sin(k\omega t))\);\(S_n(f)(t)=a_0(f)+\frac{1}{2}\sum_{k=1}^n(a_k(f)\cos(k\omega t)+b_k(f)\sin(k\omega t))\);\(S_n(f)(t)=\sum_{k=1}^n(a_k(f)\cos(k\omega t)+b_k(f)\sin(k\omega t))\);La somme partielle de Fourier d'ordre \(n\) est le polynôme trigonométrique \(S_n(f)(t) = a_0(f) + \sum_{k=1}^n (a_k(f)\cos(k\omega t) + b_k(f)\sin(k\omega t))\).
