Question;Correct;Fausse 1;Fausse 2;Fausse 3;Explication
Définition d'une fonction paire;\(\forall x \in D_f, -x \in D_f \text{ et } f(-x) = f(x)\);\(\forall x \in D_f, -x \in D_f \text{ et } f(-x) = -f(x)\);\(\forall x \in D_f, x+T \in D_f \text{ et } f(x+T) = f(x)\);\(\forall x \in D_f, -x \in D_f \text{ et } f(-x) = \frac{1}{f(x)}\);Une fonction est paire si son domaine est symétrique par rapport à 0 et f(-x) = f(x) pour tout x.
Définition d'une fonction impaire;\(\forall x \in D_f, -x \in D_f \text{ et } f(-x) = -f(x)\);\(\forall x \in D_f, -x \in D_f \text{ et } f(-x) = f(x)\);\(\forall x \in D_f, -x \in D_f \text{ et } f(-x) = \frac{1}{f(x)}\);\(\forall x \in D_f, x+T \in D_f \text{ et } f(x+T) = -f(x)\);Une fonction est impaire si son domaine est symétrique par rapport à 0 et f(-x) = -f(x) pour tout x.
Définition d'une fonction périodique de période T;\(\forall x \in D_f, x+T \in D_f \text{ et } f(x+T) = f(x)\);\(\forall x \in D_f, x+T \in D_f \text{ et } f(x+T) = -f(x)\);\(\forall x \in D_f, -x \in D_f \text{ et } f(x+T) = f(x)\);\(\forall x \in D_f, x+T \in D_f \text{ et } f(x+T) = T f(x)\);Une fonction est T-périodique si pour tout x dans Df, x+T est dans Df et f(x+T) = f(x).
Définition d'une fonction croissante;\(\forall (x,y) \in D_f^2, x < y \Rightarrow f(x) \le f(y)\);\(\forall (x,y) \in D_f^2, x < y \Rightarrow f(x) \ge f(y)\);\(\forall (x,y) \in D_f^2, x < y \Rightarrow f(x) < f(y)\);\(\forall (x,y) \in D_f^2, x \le y \Rightarrow f(x) > f(y)\);Une fonction est croissante sur Df si elle conserve l'ordre large : pour tous x < y, f(x) <= f(y).
Définition d'un minimum local en \(x_0\);\(\forall x \in V(x_0), f(x) \ge f(x_0)\);\(\forall x \in V(x_0), f(x) \le f(x_0)\);\(\forall x \in D_f, f(x) > f(x_0)\);\(\forall x \in V(x_0), f'(x) = 0\);Un minimum local en x0 signifie que sur un voisinage V(x0), f(x0) est la plus petite valeur atteinte, soit f(x) >= f(x0).
Nombre dérivé en \(x_0\) (formule de la limite);\(\lim_{x \to x_0} \frac{f(x)-f(x_0)}{x-x_0} = f'(x_0)\);\(\lim_{x \to x_0} \frac{f(x)+f(x_0)}{x+x_0} = f'(x_0)\);\(\lim_{x \to 0} \frac{f(x)-f(x_0)}{x-x_0} = f'(x_0)\);\(\lim_{x \to x_0} \frac{x-x_0}{f(x)-f(x_0)} = f'(x_0)\);Le nombre dérivé en x0 est la limite du taux d'accroissement lorsque x tend vers x0.
Équation de la tangente en \(x_0\);\(y - f(x_0) = f'(x_0)(x-x_0)\);\(y + f(x_0) = f'(x_0)(x-x_0)\);\(y - f(x_0) = f'(x)(x-x_0)\);\(y = f'(x_0)x + f(x_0)\);L'équation de la tangente à la courbe en x0 s'écrit y = f'(x0)(x-x0) + f(x0), soit y - f(x0) = f'(x0)(x-x0).
Condition suffisante pour que \(f\) soit strictement croissante;\(f'(x) \ge 0\) et \(f'\) ne s'annule qu'en un nombre fini de points;\(f'(x) > 0\) en tout point de l'intervalle sans exception;\(f'(x) \ge 0\) sur tout le domaine de définition;\(f''(x) > 0\) sur tout l'intervalle;Une fonction dérivable dont la dérivée est positive et ne s'annule que sur un nombre fini de points est strictement croissante.
Théorème de la bijection monotone;Si \(f\) est strictement monotone et continue sur \(I\), \(f\) réalise une bijection de \(I\) dans \(f(I)\);Si \(f\) est continue sur \(I\), \(f\) réalise une bijection de \(I\) dans \(f(I)\);Si \(f\) est strictement monotone sur \(I\), \(f\) réalise une bijection de \(I\) dans \(\mathbb{R}\);Si \(f\) est dérivable sur \(I\), \(f\) réalise une bijection de \(I\) dans \(f(I)\);La continuité et la stricte monotonie sur un intervalle I garantissent que f établit une bijection de I vers f(I).
Propriété fondamentale de la fonction réciproque \(f^{-1}\);\(\forall y \in f(I), f^{-1}(y)=x \iff f(x)=y\) et \(f^{-1}(f(x))=x\);\(\forall y \in f(I), f^{-1}(y)=\frac{1}{f(y)}\);\(\forall y \in f(I), f^{-1}(y)=x \iff f(y)=x\);\(\forall y \in f(I), f^{-1}(x)=y \iff f(x)=-y\);Par définition de la fonction réciproque, f^-1(y)=x équivaut à f(x)=y et f^-1(f(x))=x.
